# Wavelength Flux
3.755560e+03 8.978930e-01
3.755575e+03 8.805696e-01
3.755590e+03 8.477705e-01
3.755604e+03 8.458006e-01
3.755619e+03 8.802036e-01
3.755634e+03 9.181317e-01
3.755648e+03 9.344973e-01
3.755663e+03 9.429215e-01
3.755677e+03 9.515957e-01
3.755692e+03 9.509456e-01
3.755707e+03 9.498048e-01
3.755721e+03 9.482205e-01
3.755736e+03 9.804940e-01
3.755751e+03 9.813344e-01
3.755765e+03 9.708750e-01
3.755780e+03 9.673274e-01
3.755795e+03 9.747529e-01
3.755809e+03 9.856897e-01
3.755824e+03 1.001082e+00
3.755839e+03 9.999092e-01
3.755853e+03 9.947622e-01
3.755868e+03 9.878029e-01
3.755883e+03 9.874372e-01
3.755897e+03 9.729642e-01
3.755912e+03 9.690369e-01
3.755927e+03 9.875003e-01
3.755941e+03 9.943762e-01
3.755956e+03 9.921221e-01
3.755971e+03 9.839011e-01
3.755985e+03 9.696953e-01
3.756000e+03 9.636266e-01
3.756014e+03 9.490777e-01
3.756029e+03 9.156996e-01
3.756044e+03 8.924145e-01
3.756058e+03 8.697173e-01
3.756073e+03 8.533415e-01
3.756088e+03 8.877252e-01
3.756102e+03 9.167098e-01
3.756117e+03 9.441622e-01
3.756132e+03 9.689347e-01
3.756146e+03 9.784500e-01
3.756161e+03 9.866174e-01
3.756176e+03 9.929465e-01
3.756190e+03 9.957622e-01
3.756205e+03 9.844239e-01
3.756219e+03 9.763766e-01
3.756234e+03 9.794667e-01
3.756249e+03 9.861088e-01
3.756263e+03 9.869820e-01
3.756278e+03 9.847166e-01
3.756293e+03 9.804527e-01
3.756307e+03 1.008527e+00
3.756322e+03 1.009278e+00
3.756337e+03 9.444147e-01
3.756351e+03 9.220034e-01
3.756366e+03 8.998833e-01
3.756381e+03 8.815220e-01
3.756395e+03 8.827676e-01
3.756410e+03 9.015103e-01
3.756425e+03 9.224777e-01
3.756439e+03 9.421803e-01
3.756454e+03 9.664065e-01
3.756469e+03 9.707587e-01
3.756483e+03 9.619746e-01
3.756498e+03 9.337455e-01
3.756513e+03 9.177474e-01
3.756527e+03 9.103386e-01
3.756542e+03 9.150776e-01
3.756556e+03 9.296365e-01
3.756571e+03 9.442883e-01
3.756586e+03 9.588860e-01
3.756600e+03 9.707504e-01
3.756615e+03 9.830375e-01
3.756630e+03 9.916423e-01
3.756644e+03 9.950079e-01
3.756659e+03 9.909780e-01
3.756674e+03 9.815619e-01
3.756688e+03 9.738951e-01
3.756703e+03 9.904828e-01
3.756718e+03 9.749639e-01
3.756732e+03 9.695436e-01
3.756747e+03 9.792544e-01
3.756761e+03 9.604282e-01
3.756776e+03 9.382216e-01
3.756791e+03 9.182541e-01
3.756806e+03 9.147533e-01
3.756820e+03 9.071638e-01
3.756835e+03 9.077087e-01
3.756850e+03 9.163578e-01
3.756864e+03 9.194166e-01
3.756879e+03 8.911641e-01
3.756893e+03 8.553391e-01
3.756908e+03 8.224909e-01
3.756923e+03 7.903845e-01
3.756937e+03 7.956689e-01
3.756952e+03 8.317521e-01
3.756967e+03 8.777551e-01
3.756981e+03 9.074739e-01
3.756996e+03 9.318545e-01
3.757011e+03 9.505965e-01
3.757025e+03 9.744139e-01
3.757040e+03 9.830417e-01
3.757055e+03 9.822382e-01
3.757069e+03 9.806492e-01
3.757084e+03 9.818612e-01
3.757098e+03 9.865890e-01
3.757113e+03 9.976518e-01
3.757128e+03 9.855639e-01
3.757142e+03 9.794189e-01
3.757157e+03 9.756482e-01
3.757172e+03 9.738472e-01
3.757186e+03 9.672221e-01
3.757201e+03 9.618561e-01
3.757216e+03 9.584813e-01
3.757230e+03 9.549932e-01
3.757245e+03 9.411551e-01
3.757260e+03 9.230381e-01
3.757274e+03 9.062610e-01
3.757289e+03 8.501066e-01
3.757304e+03 7.823771e-01
3.757318e+03 7.015623e-01
3.757333e+03 5.488160e-01
3.757348e+03 4.656177e-01
3.757362e+03 4.273355e-01
3.757377e+03 4.597458e-01
3.757392e+03 5.257114e-01
3.757406e+03 6.105027e-01
3.757421e+03 7.005978e-01
3.757435e+03 7.431195e-01
3.757450e+03 7.716438e-01
3.757465e+03 7.937104e-01
3.757479e+03 8.103277e-01
3.757494e+03 7.918139e-01
3.757509e+03 7.723943e-01
3.757523e+03 7.615501e-01
3.757538e+03 7.932093e-01
3.757553e+03 8.057902e-01
3.757567e+03 8.213622e-01
3.757582e+03 8.380246e-01
3.757597e+03 8.082064e-01
3.757611e+03 7.459083e-01
3.757626e+03 6.670585e-01
3.757640e+03 5.699828e-01
3.757655e+03 4.602522e-01
3.757670e+03 3.989298e-01
3.757684e+03 3.778549e-01
3.757699e+03 4.328985e-01
3.757714e+03 5.152938e-01
3.757729e+03 6.130444e-01
3.757743e+03 7.279972e-01
3.757758e+03 7.628159e-01
3.757772e+03 7.853463e-01
3.757787e+03 7.970901e-01
3.757802e+03 7.935911e-01
3.757816e+03 7.949645e-01
3.757831e+03 8.087271e-01
3.757846e+03 8.331744e-01
3.757860e+03 8.570994e-01
3.757875e+03 8.813899e-01
3.757890e+03 9.037417e-01
3.757904e+03 9.229714e-01
3.757919e+03 9.210965e-01
3.757934e+03 9.231473e-01
3.757948e+03 9.242274e-01
3.757963e+03 9.124559e-01
3.757977e+03 9.035916e-01
